OBSYMD,DAMCD,RF,IQTY
19760806,1012110,0,193.7
19760807,1012110,0,110.9
19760808,1012110,0.8,79.7
19760809,1012110,11.2,70.9
19760810,1012110,0,60.5
19760811,1012110,0,42
19760812,1012110,42.1,51.2
19760813,1012110,152.9,1872
19760814,1012110,83.4,2767.5
19760815,1012110,5,1464.9
19760816,1012110,2.4,601.2
19760817,1012110,0,316.1
19760818,1012110,0,198.9
19760819,1012110,29.5,184.3
19760820,1012110,0.5,197.4
19760821,1012110,0,147.1
19760822,1012110,13.8,123.5
19760823,1012110,7.8,224.4
19760824,1012110,7.3,252.3
19760825,1012110,11,214
